Video position (%),Absolute audience retention (%),Compared to other videos (%)
0,103.63,37.93
1,87.91,52.56
2,84.54,59.29
3,81.15,59.15
4,81.26,59.1
5,80,59.47
6,80.35,58.49
7,79.02,55.92
8,79.04,52.77
9,78.65,49.78
10,78.15,47.05
11,76.89,44.61
12,76.57,42.8
13,75.85,42.21
14,75.81,43.14
15,75.45,45.18
16,75.31,47.48
17,75.11,49.38
18,75.21,50.24
19,75.29,49.68
20,74.1,48.06
21,73.39,45.99
22,72.38,43.54
23,71.74,40.14
24,70.74,35.38
25,70.2,29.55
26,69.29,23.61
27,68.12,18.77
28,67.1,15.76
29,67.09,14.48
30,66.77,14.13
31,65.99,13.85
32,65.45,13.11
33,65.27,11.94
34,64.44,10.88
35,64.15,10.86
36,63.88,12.61
37,64.15,15.86
38,63.89,19.39
39,63.18,21.79
40,62.83,22.08
41,62.52,20.01
42,61.72,16.04
43,60.75,11.35
44,60.22,7.31
45,59.91,4.76
46,59.55,3.85
47,59.4,4.44
48,59.17,6.4
49,58.7,9.67
50,58.22,13.87
51,58.61,17.75
52,59.18,19.49
53,57.87,18.25
54,57.26,15.08
55,56.69,11.95
56,56.53,10.19
57,56.18,9.83
58,56.19,10.13
59,55.73,10.38
60,55.54,10.34
61,55.35,10.33
62,55.28,10.84
63,54.84,11.82
64,55,12.51
65,54.86,12.24
66,54.27,11.46
67,53.94,11.54
68,53.91,13.24
69,54,15.96
70,53.97,18.26
71,53.75,18.95
72,53.33,17.73
73,52.69,15.23
74,51.98,12.64
75,51.77,10.76
76,51.8,9.35
77,51.33,7.89
78,51.02,6.37
79,50.86,5.33
80,50.89,5.18
81,50.79,5.64
82,50.85,5.55
83,51.22,3.49
84,49.73,-0.89
85,49.25,-6.35
86,49.04,-11.31
87,48.67,-15.03
88,48.24,-17.61
89,48.14,-19.42
90,47.9,-20.77
91,47.51,-21.94
92,47.49,-23.21
93,47.37,-24.75
94,47.03,-26.32
95,46.74,-27.49
96,46.44,-27.76
97,46.28,-26.57
98,32.85,-24
99,20.07,-21.45
