Video position (%),Absolute audience retention (%)
0,103.97
1,89.17
2,85.68
3,84.62
4,83.14
5,81.98
6,82.26
7,80.54
8,79.88
9,78.99
10,78.72
11,78.32
12,77.54
13,77.18
14,76.8
15,76.3
16,75.95
17,75.67
18,74.64
19,76.24
20,73.57
21,73.49
22,73.23
23,72.89
24,72.42
25,72.3
26,72.96
27,70.42
28,69.99
29,69.54
30,69.49
31,69.19
32,69.08
33,69.11
34,68.89
35,68.55
36,67.34
37,66.55
38,65.97
39,66
40,65.96
41,65.59
42,65.04
43,64.86
44,64.53
45,64.28
46,63.83
47,63.35
48,63.47
49,63.51
50,64.55
51,62.33
52,61.92
53,61.84
54,61.64
55,61.67
56,61.18
57,60.96
58,60.88
59,60.66
60,60.57
61,60.4
62,59.94
63,59.7
64,59.47
65,59.34
66,59.21
67,59.15
68,58.46
69,58.11
70,57.86
71,57.34
72,56.99
73,56.67
74,56.62
75,56.92
76,56.23
77,55.53
78,55.33
79,55.75
80,55.18
81,54.59
82,54.26
83,54.16
84,54.11
85,54.08
86,53.88
87,53.8
88,53.37
89,52.99
90,52.81
91,52.94
92,52.87
93,52.36
94,52.21
95,52.08
96,51.9
97,51.53
98,44.35
99,29.98
