Video position (%),Absolute audience retention (%)
0,107.83
1,87.97
2,84.34
3,83.31
4,82.03
5,81.06
6,80.19
7,79.54
8,79.32
9,72.39
10,59.5
11,57.3
12,55.88
13,56.77
14,60.47
15,71.65
16,72.1
17,72.33
18,71.94
19,71.43
20,70.97
21,70.62
22,70.17
23,70.17
24,70.03
25,69.79
26,69.2
27,70.09
28,67.57
29,67.98
30,66.92
31,66.79
32,66.31
33,65.6
34,65.06
35,64.76
36,64.02
37,63.27
38,62.79
39,62.94
40,63.17
41,63.15
42,63.04
43,62.35
44,61.89
45,61.25
46,60.11
47,59.52
48,59.42
49,59.28
50,59.48
51,59.36
52,59.34
53,58.42
54,58.08
55,57.97
56,57.98
57,60.1
58,56.68
59,56.11
60,55.77
61,55.49
62,55.16
63,54.83
64,54.76
65,54.8
66,54.25
67,54.39
68,54.54
69,55.15
70,54.49
71,54.02
72,52.96
73,52.66
74,52.34
75,52.05
76,51.96
77,51.98
78,51.96
79,51.87
80,51.56
81,51.15
82,51.54
83,50.43
84,50.4
85,50.25
86,50.06
87,50.7
88,50.78
89,50.17
90,49.57
91,48.61
92,48.29
93,48
94,48.1
95,47.96
96,48.25
97,46.43
98,27.29
99,21.54
