Video position (%),Absolute audience retention (%)
0,103.73
1,88.7
2,84.93
3,82.6
4,81.12
5,81.2
6,80.44
7,79.35
8,79.35
9,79.31
10,79.95
11,79
12,78.23
13,78.13
14,77.36
15,75.76
16,74.54
17,74.11
18,73.62
19,73.65
20,73.03
21,72.76
22,72.15
23,71.87
24,71.26
25,70.97
26,69.88
27,69.67
28,69.63
29,70.21
30,69.29
31,69.32
32,68.73
33,68.24
34,67.79
35,67.58
36,67.33
37,67.41
38,67.2
39,66.29
40,65.82
41,65.55
42,65.14
43,65.25
44,65.12
45,64.77
46,63.92
47,63.84
48,63.51
49,63.36
50,63.48
51,63.26
52,62.24
53,61.94
54,61.75
55,61.49
56,63.43
57,60.61
58,60.11
59,59.97
60,59.39
61,58.78
62,58.35
63,58.21
64,57.81
65,57.44
66,57.32
67,57.31
68,57.16
69,56.96
70,56.92
71,56.41
72,56.09
73,55.97
74,55.64
75,55.41
76,55.13
77,54.48
78,54.16
79,54.14
80,53.91
81,54.04
82,53.04
83,52.67
84,52.25
85,52.19
86,51.87
87,51.63
88,51.18
89,50.68
90,50.36
91,50.31
92,50.23
93,50.08
94,49.91
95,49.54
96,49.17
97,48.17
98,27.69
99,18.16
