Video position (%),Absolute audience retention (%)
0,102.97
1,88.64
2,84.62
3,81.96
4,81.47
5,79.84
6,78.94
7,78.18
8,77.57
9,77.11
10,76.43
11,76.04
12,74.9
13,74.43
14,74.21
15,73.77
16,73.19
17,73.01
18,72.22
19,70.9
20,70.53
21,70.22
22,69.87
23,70.65
24,69.43
25,69.33
26,68.08
27,67.68
28,67.19
29,67.31
30,67.31
31,66.94
32,66.21
33,65.95
34,65.55
35,65.21
36,64.63
37,64.65
38,64.54
39,63.94
40,64.19
41,63.99
42,63.6
43,63.43
44,62.99
45,62.54
46,62.77
47,62.95
48,60.72
49,60.31
50,59.73
51,59.54
52,58.95
53,58.28
54,57.91
55,57.26
56,56.67
57,56.14
58,55.89
59,55.79
60,55.63
61,55.36
62,54.91
63,54.6
64,54.46
65,54.55
66,54.4
67,54.06
68,53.52
69,53.42
70,53.45
71,53.39
72,53.03
73,54.31
74,52.15
75,52.17
76,52.16
77,51.87
78,51.55
79,51.35
80,51.36
81,51.32
82,51.31
83,50.73
84,50.42
85,50.19
86,49.84
87,49.66
88,49.51
89,49.46
90,49.4
91,49.09
92,48.82
93,48.58
94,48.38
95,48.05
96,47.64
97,47.31
98,32.5
99,19.86
