Video position (%),Absolute audience retention (%),video_id,script_segment,timestamp
0,103.97,C,Embarrassingly Dumb Ways People Died - Darwin Awards Winners Part 2 Natural selection is mother nature’s way of making sure people get smarter,0.0
1,89.17,C,"- but even after 200,000 years of human evolution, some of us are still making really terrible choices. Let’s take a look at",8.33
2,85.68,C,some of the most foolish examples now. 20. Way Too Hot Spring Have you ever fancied a dip in a hot spring? I,16.66
3,84.62,C,know I have – especially when clothing is optional. Maybe this was what Colin Scott was thinking when he strayed off the trail,24.990000000000002
4,83.14,C,"at Yellowstone in 2016 to go swimming in one of its famous hot springs. This activity is forbidden by park rules, but Colin",33.32
5,81.98,C,"- a former nature reserve volunteer, thought he knew better – that is until he slipped into the Norris Geyser Basin: a thermal",41.65
6,82.26,C,"bath of boiling acidic water with below-surface temperatures of up to 459 degrees. I’ve heard that some like it hot, but that’s just",49.980000000000004
7,80.54,C,"ridiculous. Sadly for Colin, the only remains found were his wallet and flip flops. https://www.nytimes.com/2016/06/09/us/man-falls-into-hot-spring-yellowstone.html 19. Safe-ty First If there’s one thing I",58.31
8,79.88,C,"know about safes, it’s that they’re heavy. I guess someone should have told this hapless burglar from Indiana, who broke into a man’s",66.64
9,78.99,C,"garage and tried to lift an antique, 900 pound safe suspended on a floor jack. When the homeowner returned to check his garage,",74.97
10,78.72,C,"he found the unlucky thief crushed to death. The owner of the safe said that stealing the safe would have been pointless, because",83.3
11,78.32,C,"it was completely empty. Crushed to death by an empty safe? I’m sure there’s a lesson here somewhere, and I think it’s safe",91.63
12,77.54,C,to say this burglar learned it. https://www.foxnews.com/us/florida-man-dies-after-trying-to-remove-pet-pigeon-from-power-line-with-20-foot-aluminum-pole 18. Don’t Forget Your Pin There are few things more satisfying than when bullies get what,99.96000000000001
13,77.18,C,they deserve. Especially big ones. Cambodian military policeman Khim Sakhorn – nicknamed “Big Giant” – got exactly that when he tried to extort,108.29
14,76.8,C,"money and crystal meth from a local dealer. To scare the dealer, Khim pulled the pin from a grenade. Unsurprisingly, this tactic worked,",116.62
15,76.3,C,and the dealer handed over the goods. Kim then put the live grenade back in his pocket. Did it ever cross Khim’s mind,124.95
16,75.95,C,"how dumb this was? By the time this massive mobster reached his motorcycle, the grenade exploded, blasting the “Big Giant” into “Tiny Little”",133.28
17,75.67,C,"pieces. https://darwinawards.com/darwin/darwin2003-17.html 17. Runway Cyclist Unless you’ve got E.T. in your basket, you probably shouldn’t be cycling on an airport runway. This advice",141.61
18,74.64,C,"never reached Brazilian cyclist Marcelo, who was crossing an airfield near Sao Paulo while listening to his Walkman. Yes, it was 1997, but",149.94
19,76.24,C,"that’s no excuse. The 25-year-old was totally clueless as he collided with the propeller of a landing plane, mangling the blades and damaging",158.27
20,73.57,C,"the wing in the process. I’d usually say ‘wear a helmet, folks’, but in this case… I’m not sure that would have helped.",166.6
21,73.49,C,"https://darwinawards.com/darwin/darwin1997-13.html 16. Fast Food Fatality In an attempt to rip off their workplace, two managers at Burger King cooked up a whopper of",174.93
22,73.23,C,"a plan. Staging a fake robbery and arson in order to steal over $4000 dollars from the restaurant, 22 year-old night manager Lisa",183.26
23,72.89,C,"was bound with duct tape and shut into the walk-in cooler by her accomplice. Unluckily for Lisa, the fire department didn’t show up",191.59
24,72.42,C,"until the morning, when she was found freezing and semi-conscious. She later died in hospital from hypothermia. According to investigators, Lisa could have",199.92000000000002
25,72.3,C,"easily freed herself from her bindings and escaped the unlocked refrigerator, which is exactly why she makes the list. https://darwinawards.com/darwin/darwin2000-54.html 15. Tiger Toy",208.25
26,72.96,C,"Playing with your food is an unattractive habit, but some creatures just can’t help it. A mugger in South Africa found this out",216.58
27,70.42,C,the hard way after robbing a couple at knifepoint. The mugger fled the scene and clambered over a nearby fence. What he’d forgotten,224.91
