Video position (%),Absolute audience retention (%),video_id,script_segment,timestamp
0,107.83,D,Embarrassingly Dumb Ways People Died - Darwin Awards Winners [Part 4] The advancement of civilisation has given a fighting chance to those,0.0
1,87.97,D,"whose lack of awareness might’ve got them killed in the past. But there are some people that make such terrible decisions, even",8.22
2,84.34,D,"the achievements of the modern world can’t keep them alive. Let’s dive into some unbelievably dumb ways people died, earning themselves a",16.44
3,83.31,D,Darwin award for natural selection. “Garbage Day!” No one likes having to take out the trash for collection… [run clip] …but we,24.660000000000004
4,82.03,D,"don’t usually expect to find ourselves carried off alongside our garbage. But for Diego Mata, a combination of heavy drinking and dumpster",32.88
5,81.06,D,"diving lead to exactly that, one fateful evening in March 2019. CCTV footage taken on the night in Rosemont, Illinois’ entertainment district,",41.1
6,80.19,D,"captured the 31-year-old drunkenly climbing into a dumpster around 4am. An hour later, the garbage truck arrived, tipping the contents of the",49.32000000000001
7,79.54,D,"dumpster – including Mata – into its powerful mechanical jaws. Mata’s body was later recovered from a sanitation facility, where he was",57.540000000000006
8,79.32,D,found to have been crushed to death. What a rubbish way to go. Water Hazard It seems like common sense that –,65.76
9,72.39,D,"if you don’t know how to swim – you should probably learn before doing ocean water-sports. Unfortunately, this didn’t occur to Jerry",73.98
10,59.5,D,"Device in July 2019, when he took to the sea in the jet ski he’d purchased mere hours earlier. Despite his desire",82.2
11,57.3,D,"to have a wild time in the water, Device never learned to swim, so when he lost control and flipped his new",90.42
12,55.88,D,"toy, he was thrown into serious peril. Within moments, the sea had overwhelmed him, and he drowned. When you’re in Poseidon’s house,",98.64000000000001
13,56.77,D,it pays to be respectful. Because he can be one remorseless son of a titan. Deadly Hydration Tina Christopherson was an extremely,106.86000000000001
14,60.47,D,"intelligent woman, with a reported IQ of 189. Unfortunately, irrational fear affects even the smartest minds, and a specific fear of stomach",115.08000000000001
15,71.65,D,"cancer was responsible for Tina’s demise. She’d seen her mother suffer an agonising death from the disease, which drove her to obsess",123.30000000000001
16,72.1,D,"over avoiding that fate for herself. She became convinced that she could avoid stomach cancer by intermittently fasting for extended periods, in",131.52
17,72.33,D,"which she would only consume water. During these fasts, she would drink as much as four gallons of water a day. The",139.74
18,71.94,D,"extended strain of this practice pushed her kidneys into failure, causing water to migrate to her lungs. Despite being on solid ground,",147.96
19,71.43,D,"the water in Tina’s lungs caused her to drown. In the end, her neurotic desperation to avoid death had, in fact, killed",156.18
20,70.97,D,"her. So, remember kids, stay hydrated – but not too hydrated, okay? Black Death Dining Luckily, most of us will never have",164.4
21,70.62,D,"to suffer the disease that wiped out around half the European population in the 14th century. I’m talking, of course, about the",172.62
22,70.17,D,"Black Death, or bubonic plague, which is caused by a bacterium called Yersinia pestis. The disease is spread by fleas carried by",180.84
23,70.17,D,"rodents, and while we can treat it with antibiotics now, its symptoms spread fast and are extremely painful, deadly and highly infectious.",189.06
24,70.03,D,"Over the years, we’ve figured out that – among other methods – to avoid ending up covered in oozing buboes and gangrene,",197.28000000000003
25,69.79,D,"it helps to avoid touching wild rodents. But not only did a Mongolian couple miss the memo in May 2019, they took",205.50000000000003
26,69.2,D,"their ignorance to the next level, by consuming the raw kidney of a rodent known as a marmot. Believing the meat to",213.72000000000003
27,70.09,D,"be good for their health, consuming it actually gave both of them bubonic plague. Not only did they both die, they caused",221.94000000000003
28,67.57,D,"a 6-day quarantine of locals and tourists who had come into contact with the couple. Clearly, there are worse ways to make",230.16000000000003
29,67.98,D,people suffer from your eating habits than microwaving stanky fish in the office break room! I’d take stinky seafood or pungent cheese,238.38000000000002
30,66.92,D,"over deadly, bacterial rodent disease. Pain in the Neck On a cold night in September 1927, famous French-American dancer Isadora Duncan was",246.60000000000002
31,66.79,D,"preparing for an evening out in a friend’s sports car. On their parting, another friend implored Isadora to put a warm cape",254.82000000000002
32,66.31,D,"over her shoulders, as the open-top car would run a substantial breeze during the drive. Isadora decided that some stylish neckwear would",263.04
33,65.6,D,"be sufficient, so she wrapped a long, flowing silk scarf around her neck, and was ready to go. The driver began to",271.26000000000005
34,65.06,D,"drive off, while Isadora said – what would indeed be – her final goodbyes. But, to the horror of her onlooking friends,",279.48
35,64.76,D,"the scarf was whipped up in the wind, and drifted over the edge of the car. It had soon wrapped itself around",287.70000000000005
