Video position (%),Absolute audience retention (%),video_id,script_segment,timestamp
0,103.73,E,"Embarrassingly Dumb Ways People Died - Darwin Awards Winners [Part 5] Sometimes, it really does seem like the world",0.0
1,88.7,E,"is getting dumber. That may be partly due to the fact that our incredible social systems of medicine, community",6.54
2,84.93,E,"and welfare have effectively wiped out natural selection for us humans. But every once in a while, someone worthy",13.08
3,82.6,E,of a Darwin Award removes themselves from the gene pool like a deer with a penchant for highway jogging.,19.62
4,81.12,E,"Join me now, as I take a look at some of the most mind-bogglingly dumb ways people have died.",26.16
5,81.2,E,Leap of Faith In May of 2019 a car chase left a criminal in a tough spot. The Brooklyn,32.7
6,80.44,E,"man was wanted for a carjacking when he made his first dumb move: crashing into a police car, triggering",39.24
7,79.35,E,"a high-speed chase. His second – and most lasting – mistake came later, after the pursuit left him trapped",45.78
8,79.35,E,"between multiple pursuing police cars on the Brooklyn Bridge. Rather than hand himself over, he went with the Grand",52.32
9,79.31,E,"Theft Auto method. He assumed that jumping over the railing, down to the ground below would allow him to",58.86
10,79.95,E,escape with little more than a scratch or two. So over he went. And while he did indeed get,65.4
11,79.0,E,"away, he did so in a body bag. Remember Your Roots There are many embarrassing ways to die, but",71.94
12,78.23,E,falling victim to the wrath of a root vegetable has to be near the top. When out on a,78.48
13,78.13,E,"hunting trip in 1881, British politician Sir William Payne-Gallwey entered the annals of ridiculous history, when he slipped and",85.02
14,77.36,E,"fell onto a turnip. The turnip, renowned by his fellow turnips as a violent brute, caused severe internal injuries",91.56
15,75.76,E,"to the politician, and he died that day, aged 74. Turns out vegetables aren’t so good for you, after",98.1
16,74.54,E,all! World’s Longest Breath Holder I could think of better ways to spend a Saturday night than a breath-holding,104.64
17,74.11,E,"contest, but apparently boredom was at an all-time high for a New Jersey man in August 2018. Rather than",111.18
18,73.62,E,"holding the competition between friends on the safety of dry land, the man decided to hold his breath underwater",117.72
19,73.65,E,"on Lake Sinclair in Georgia. 7 minutes passed before anyone noticed anything was wrong. In this time, the undisputed",124.26
20,73.03,E,"winner of the contest had fallen unconscious and drowned, proving that real winners never give up. Cigarette Burns Hospitals",130.8
21,72.76,E,"are usually safe places for treatment and recovery, but a questionable decision made by an elderly lady in Haltern-Am-See,",137.34
22,72.15,E,"Germany, brought a quick end to her own treatment plan in 2018. The lady, who was wheelchair-bound from sickness,",143.88
23,71.87,E,"wheeled herself outside for a nice relaxing smoke. She seemed to forget that she was wearing an oxygen ventilator,",150.42
24,71.26,E,"which ignited when she lit her cigarette, setting fire to the plastic upholstery of her wheelchair. She was engulfed",156.96
25,70.97,E,"in deadly flames and scorching plastic and died soon after. Everyone knows smoking’s bad for your health. But usually,",163.5
26,69.88,E,its effects aren’t so… explosive. Not the Bees! Picture this relaxing scene: you’re lying down on a comfy massage,170.04
27,69.67,E,"table, enjoying some nice therapeutic music… when someone forcibly stings you with multiple bees. Surprisingly, this is something people",176.58
28,69.63,E,willingly go through on a regular basis – supposedly to relieve stress and muscle tension – and is a,183.12
29,70.21,E,"form of alternative medicine known as ‘live bee acupuncture’. All the bees that are used die in the process,",189.66
30,69.29,E,"but in 2018, they finally got their own back. You see, every time a person is stung by a",196.2
31,69.32,E,"bee, their chances of suffering an allergic reaction increase. But for one woman who was unaware of this fact,",202.74
32,68.73,E,"her reaction came as a total surprise, after having the treatment so many times. The woman immediately lost consciousness",209.28
33,68.24,E,"following one of the stings, and soon died of a severe allergic reaction. Don’t mess with bees. Nick Cage",215.82
34,67.79,E,"knows this, and so should you. [roll clip] Escalator To Heaven You’ve heard of the stairway to heaven, but",222.36
35,67.58,E,"what about the fast-track version? The only catch is, you never actually get to the top. This is the",228.9
36,67.33,E,fate that met the guitar player from a heavy metal band whose name is so obscene YouTube would implode,235.44
37,67.41,E,if I were to say it. A musical career dedicated to causing as much controversy as possible culminated in,241.98
38,67.2,E,"a rather unclimactic end, when he attempted to ride his way along the rail of an escalator. He lost",248.52
39,66.29,E,"his balance, plummeted over the edge, and died on impact. His head struck a food court table, presumably turning",255.06
40,65.82,E,some unfortunate kid’s happy meal into a horror meal. Taking Selfies To New Heights Some people go to great,261.6
41,65.55,E,"lengths for that perfect selfie. But apparently, these great lengths should never exceed 99ft. The world learned this fact",268.14
42,65.14,E,"in 2018, when a British woman and her Australian boyfriend were found dead on a beach in Portugal. Piecing",274.68
43,65.25,E,"the evidence together, police concluded that the couple had been sat atop a 100ft wall overlooking the beach, when",281.22
44,65.12,E,"they dropped the phone they’d been snapping vacation pics on. They both reached to grab the phone, which had",287.76
45,64.77,E,"landed on a ledge just below them. Unfortunately, they both lost their balance, and plunged the full distance to",294.3
46,63.92,E,"the ground below. As if to symbolise technology’s inevitable take over of the human race, the phone the couple",300.84
47,63.84,E,"gave their lives trying to save remained on the wall, unscathed. Trouble In The Tub We’re taught from a",307.38
48,63.51,E,"young age that water and electricity don’t mix, but for some people, this never quite sinks in. For some,",313.92
49,63.36,E,"the comfort of having an electronic device on hand at all times overrides the need to, you know, remain",320.46
50,63.48,E,"alive. A Londoner learnt the error of this mindset in 2017, when he tried charging his phone while in",327.0
51,63.26,E,"the bath. As he relaxed in the tub, he balanced an extension cord on his chest, keeping it out",333.54
52,62.24,E,"of the water. What happened next is unclear, but the situation isn’t too hard to fathom. Whether he slipped,",340.08
53,61.94,E,"or whether he absent-mindedly dunked his phone in the water, he was killed by the ensuing shock. Fussy Eater",346.62
