Video position (%),Absolute audience retention (%),video_id,script_segment,timestamp
0,102.97,F,"Embarrassingly Dumb Ways People Died - Darwin Awards Winners [Part 6] For most of us, the natural instinct to survive is",0.0
1,88.64,F,"pretty effective at keeping us from serious harm. But for some people, the impulse to carry out acts of sheer, unbelievable",7.13
2,84.62,F,"stupidity somehow overwhelms the rational mind’s urge to survive. Without further ado, get ready to be baffled by these people who",14.26
3,81.96,F,"became real-life examples of natural selection in action. Quick Eggs-It As far as humanity’s greatest intellectuals are concerned, it’s fair to",21.39
4,81.47,F,"assume none of them have been regular participants in eating contests. But while the whole concept is pretty dumb, one Indian",28.52
5,79.84,F,man learned in 2019 that it can also be fatal. After a disagreement took place between the man and his friend,35.65
6,78.94,F,"in a marketplace in India’s Jaunpur district, they decided there was only one way to settle it. An egg-eating contest. With",42.78
7,78.18,F,"a $30 bet on the table for whoever could eat 50 the fastest, the men began scoffing hard-boiled eggs. But while",49.91
8,77.57,F,"devouring his 42nd egg, one of the eaters collapsed and fell unconscious, and died soon afterwards in hospital. His body couldn’t",57.04
9,77.11,F,"deal with the dense load of 42 eggs, which could’ve weighed as much as 6lbs. So remember: if you want a",64.17
10,76.43,F,"really filling breakfast that won’t kill you, don’t exceed 41 eggs. Bird-Brained Idea Another case of eggs-gone-wrong occurred back in 2006,",71.3
11,76.04,F,"in Doncaster, England. A man, who had a string of convictions for stealing rare, protected bird eggs, was on the hunt",78.42999999999999
12,74.9,F,"for illicit eggs in a local forest. Spotting what he presumed to be a sparrow hawk’s nest, the 62-year-old began climbing",85.56
13,74.43,F,"the branches of a tree in hope of something valuable. As he approached the top, however, an avoidable disaster struck. You",92.69
14,74.21,F,"see, this bird-egg bandit had long-standing issues with high blood pressure, which often led to dizzy spells and fainting. Why he’d",99.82
15,73.77,F,"choose a career that involved climbing up precarious tree branches, while battling a tendency to randomly pass out, is anyone’s guess.",106.95
16,73.19,F,"But it doesn’t take too much guessing to figure out what happened. At the top of the tree, he passed out,",114.08
17,73.01,F,"plummeting to the ground, breaking his ribs and having his heart punctured by branches on the way down. Karma was clearly",121.21
18,72.22,F,"on the birds’ side, because the egg thief died soon afterwards. Connection Issues The reason grappling down the sides of buildings",128.34
19,70.9,F,"is possible in movies is that the characters typically use state-of-the-art equipment that they know they can rely on. Sadly, a",135.47
20,70.53,F,"47-year-old man from Northern France seemed to miss this important qualifying factor in 2017, when he attempted his own Mission Impossible-style",142.6
