Video position (%),Absolute audience retention (%),Compared to other videos (%),script_segment
0,,,"Embarrassingly Dumb Ways People Died - Darwin Awards Winners [Part 6] For most of us, the natural instinct to survive is"
1,,,"pretty effective at keeping us from serious harm. But for some people, the impulse to carry out acts of sheer, unbelievable"
2,,,"stupidity somehow overwhelms the rational mind’s urge to survive. Without further ado, get ready to be baffled by these people who"
3,,,"became real-life examples of natural selection in action. Quick Eggs-It As far as humanity’s greatest intellectuals are concerned, it’s fair to"
4,,,"assume none of them have been regular participants in eating contests. But while the whole concept is pretty dumb, one Indian"
5,,,man learned in 2019 that it can also be fatal. After a disagreement took place between the man and his friend
6,80.63,55.6,"in a marketplace in India’s Jaunpur district, they decided there was only one way to settle it. An egg-eating contest. With"
7,80.08,53.96,"a $30 bet on the table for whoever could eat 50 the fastest, the men began scoffing hard-boiled eggs. But while"
8,79.64,53.03,"devouring his 42nd egg, one of the eaters collapsed and fell unconscious, and died soon afterwards in hospital. His body couldn’t"
9,79.23,52.96,"deal with the dense load of 42 eggs, which could’ve weighed as much as 6lbs. So remember: if you want a"
10,78.5,54.02,"really filling breakfast that won’t kill you, don’t exceed 41 eggs. Bird-Brained Idea Another case of eggs-gone-wrong occurred back in 2006,"
11,77.97,56.98,"in Doncaster, England. A man, who had a string of convictions for stealing rare, protected bird eggs, was on the hunt"
12,77.29,62.03,"for illicit eggs in a local forest. Spotting what he presumed to be a sparrow hawk’s nest, the 62-year-old began climbing"
13,77.08,67.21,"the branches of a tree in hope of something valuable. As he approached the top, however, an avoidable disaster struck. You"
14,82.21,69.36,"see, this bird-egg bandit had long-standing issues with high blood pressure, which often led to dizzy spells and fainting. Why he’d"
15,76.6,66.86,"choose a career that involved climbing up precarious tree branches, while battling a tendency to randomly pass out, is anyone’s guess."
16,76.18,61.15,"But it doesn’t take too much guessing to figure out what happened. At the top of the tree, he passed out,"
17,75.08,55.42,"plummeting to the ground, breaking his ribs and having his heart punctured by branches on the way down. Karma was clearly"
18,75.74,51.24,"on the birds’ side, because the egg thief died soon afterwards. Connection Issues The reason grappling down the sides of buildings"
19,73.9,47.84,"is possible in movies is that the characters typically use state-of-the-art equipment that they know they can rely on. Sadly, a"
20,73.64,44.56,"47-year-old man from Northern France seemed to miss this important qualifying factor in 2017, when he attempted his own Mission Impossible-style"
21,73.37,41.56,"escape. The man had been locked up in his room by his mother to try to control his hard-drinking lifestyle, so"
