Video position (%),Absolute audience retention (%),Compared to other videos (%),script_segment
0,,,"Embarrassingly Dumb Ways People Died [Part 8] We all want to be remembered for something great—but some people? Well, they go"
1,,,"down in history for all the wrong reasons. From absurd accidents to mind-bogglingly bad decisions, these unfortunate souls made their final"
2,,,"exit in ways that are as shocking as they are hilarious. So, buckle up as we dive into some of the"
3,,,most Embarrassingly Dumb Ways People Died. Labels? What Labels? Whenever blowtorches fall into the hands of the less-than-brightest members of our
4,,,"species, it’s always best to take a few steps back. By which I mean, move to the next county over. If"
5,,,"this piece of common sense wasn’t already obvious, a man from Topeka, Kansas certainly made it clear in June 2019. When"
6,80.63,55.6,"he stumbled upon what appeared to be an empty metal drum, the inquisitive fellow thought best to cut the thing open"
7,80.08,53.96,"with a blowtorch. What he was hoping to use the divided drum for is anyone’s guess, as it exploded violently before"
8,79.64,53.03,"the fellow got the chance to finish his task. Apparently, he’d ignored the bold warnings that the drum contained methanol, a"
9,79.23,52.96,"highly volatile compound. For people like this, instructions to ‘keep away from naked flame’ must sound like a challenge! The only"
10,78.5,54.02,"reward, of course, is a Darwin Award for removing yourself from the gene pool. Whether he read the labels or not,"
11,77.97,56.98,"this guy’s over-eager blowtorch trigger-finger cost him his life. Disney’s Other Dumbo In Disney’s Beauty and the Beast, Gaston is an"
12,77.29,62.03,"incredibly arrogant character with an endless supply of misplaced self-confidence. So, perhaps the man who played the role of Gaston at"
13,77.08,67.21,"Disney World Orlando was still in-character when he brought about his own, explosive demise in 2015? It would seem so, because"
14,82.21,69.36,he clearly placed too much confidence in the strength of his own skull when he launched a firework from atop his
15,76.6,66.86,"head. He’d been drinking and joking around with the idea, when the firework accidentally caught alight. Within seconds, the mortar tube"
16,76.18,61.15,"exploded in a colourful, fiery explosion that no amount of beer could take the edge off. Needless to say, Disney World"
17,75.08,55.42,"had to find a new Gaston, but hopefully the new one was less of a method actor. Stay In Your Lane"
18,75.74,51.24,"Riding in a bicycle lane can be dangerous enough sometimes, but riding a bicycle on a highway? For most people, this"
19,73.9,47.84,"obvious no-no should speak for itself. But one man in September 2019 was clearly different from ‘most people’, as he decided"
